site1,site2,site3
http://www.buzzfeed.com/tabirakhter/14-signs-cheese-is-your-one-true-love#-3878334542273671243,http://www.buzzfeed.com/jessicamisener/what-its-like-being-a-vegetarian-at-thanksgiving#-3885374825003559221,http://www.buzzfeed.com/erinlarosa/why-2013-was-the-best-year-ever-for-redheads#-3900681721805901552
http://www.buzzfeed.com/ericafutterman/your-essential-sound-of-music-drinking-game#-394371503181415017,http://www.buzzfeed.com/christinebyrne/holiday-treats-to-make-with-your-kids#-3931479463801907972,http://www.buzzfeed.com/joelanderson/jameis-winstons-teammates-told-police-sex-was-consensual#-3901109744394168811
http://www.buzzfeed.com/mjs538/things-i-learned-from-spending-3-days-with-the-biggest-lions#-4056573010109736158,http://www.buzzfeed.com/mjkiebus/the-xx-most-perfect-moments-captured-by-kiss-and-dance-cams#-4095595220877264824,http://www.buzzfeed.com/alannaokun/the-epic-loneliness-of-link#-4104507474950453190
http://www.buzzfeed.com/tonymerevick/leading-russian-gay-activists-fined-under-federal-propaganda#-4119723926632057541,http://www.buzzfeed.com/lyapalater/the-best-moments-from-miley-cyrus-snl-appearance#-4107616815113427725,http://www.buzzfeed.com/jamesarkin/michigan-senate-candidate-says-government-should-be-servant#-4105489907543723512
http://www.buzzfeed.com/celestinomark/what-does-love-look-like-to-kids#-4119907507314676705,http://www.buzzfeed.com/tabathaleggett/items-of-clothing-that-00s-teens-will-never-wear-again#-41208051478090265,http://www.buzzfeed.com/mrloganrhoades/a-tribute-to-aaron-rodgers-in-movember#-4124033033228463674
http://www.buzzfeed.com/notmonroe/16-twists-on-instant-hot-cocoa-gg32#-4142149997932336499,http://www.buzzfeed.com/erinlarosa/why-its-time-to-stop-watching-the-walking-dead#-4145569327138958399,http://www.buzzfeed.com/joelanderson/the-sexual-assault-investigation-of-the-heisman-frontrunner#-4165104985903128402
http://www.buzzfeed.com/tomphillips/googles-playable-doctor-who-doodle-is-adorable#-4218447419492392510,http://www.buzzfeed.com/azafar/awkwafinas-new-video-will-make-you-feel-uncomfortable-in-the#-4344993522229471501,http://www.buzzfeed.com/alexnaidus/life-lessons-you-learned-from-the-cosby-show#-4207319250246844596
http://www.buzzfeed.com/mariahsummers/the-16-most-important-bitcoinaires#-4379219130749516890,http://www.buzzfeed.com/jordanzakarin/morgan-freeman-and-idris-elba-remember-nelson-mandela#-4370632037481100325,http://www.buzzfeed.com/lilyhiottmillis/customer-refuses-to-tip-waiter-and-former-marine-leaves-homo#-4408848965559620594
http://www.buzzfeed.com/sedem/doctor-who-celebrates-50-years-cjrb#-4425620131966167290,http://www.buzzfeed.com/aaronh18/all-58-people-who-appear-in-adam-sanders-chanukah-a2wq#-443896841720221375,http://www.buzzfeed.com/briangalindo/18-wonderful-and-retro-tokyo-subway-posters#-441258108296465222
http://www.buzzfeed.com/bennyjohnson/7-massive-plot-spoilers-from-the-new-house-of-cards-promo#-4523568327434261441,http://www.buzzfeed.com/katienotopoulos/how-to-find-out-if-your-facebook-friends-hate-you#-4484503665065233,http://www.buzzfeed.com/whitneyjefferson/kanye-west-explains-why-he-doesnt-like-to-appear-on-keeping#-4498267500537801313
