site1,site2,site3
http://www.buzzfeed.com/caraf5/22-naughty-things-the-elf-on-a-shelf-is-doing-whil-eygo#-3553954114817174970,http://www.buzzfeed.com/adambvary/frozen-thanksgiving-box-office-record#6433751744301138570,http://www.buzzfeed.com/jordanzakarin/steve-buscemi-tribute-to-james-gandolfini#-4793021446120360931
http://www.buzzfeed.com/christinebyrne/cheesy-dips-that-will-make-you-swoon#6910449786963544630,http://www.buzzfeed.com/mattbellassai/the-most-life-changing-things-that-happen-when-one-direct#6701810874283053777,http://www.buzzfeed.com/spenceralthouse/find-out-how-much-money-twitter-owes-you#5824268633901534329
http://www.buzzfeed.com/mackenziekruvant/nathan-and-haley-forever#-6270948819223158454,http://www.buzzfeed.com/ailbhemalone/if-bridget-jones-had-instagram#6924923879691466309,http://www.buzzfeed.com/catscarlett/weird-fan-art-of-brian-from-afamily-guya-go1w#-5715033708600240819
http://www.buzzfeed.com/emofly/most-important-food-things-2013#-55632290424172519,http://www.buzzfeed.com/lilytownshend/16-of-the-worst-celebrity-attempts-at-a-music-care-gtl8#-878653810144330230,http://www.buzzfeed.com/mrloganrhoades/the-25-best-buzzer-beaters-of-2013#-5727789675363089741
http://www.buzzfeed.com/adambvary/vin-diesel-posts-brief-and-moving-tribute-to-paul-walker#-3587780755106611344,http://www.buzzfeed.com/emofly/clever-gifts-for-food-lovers#-4981913129838894116,http://www.buzzfeed.com/gavon/a-chihuaha-dressed-as-a-donkey#-6806010298247605864
http://www.buzzfeed.com/lottetregelles/19-ways-nigel-thornberrys-face-makes-great-things-gsqa#1501025698842463360,http://www.buzzfeed.com/erinlarosa/why-its-time-to-stop-watching-the-walking-dead#-4145569327138958399,http://www.buzzfeed.com/ryanhatesthis/people-that-prove-doitforthevine-has-gone-way-too-far#3268853060662638418
http://www.buzzfeed.com/jenlewis/things-you-probably-didnt-know-about-dirty-dancing#-3307455412911221034,http://www.buzzfeed.com/louispeitzman/8-ways-the-originals-has-modeled-itself-after-angel#-6312580437541665057,http://www.buzzfeed.com/garrettjustgarrett/why-meteorology-is-paris-hiltons-true-calling-87fk#-9114073549337991597
http://www.buzzfeed.com/whitneyjefferson/james-francos-unexplainable-batman-art#8884965038972979184,http://www.buzzfeed.com/ryanhatesthis/college-students-from-suny-cortland-partied-so-hard-this-wee#-5370562295549446135,http://www.buzzfeed.com/dorsey/non-white-people-who-are-perfectly-capable-of-hosting-a-p#-9132259609627237612
http://www.buzzfeed.com/jwherrman/the-great-snapchat-mirage#-6437980058548833248,http://www.buzzfeed.com/mattbellassai/beyonce-turns-kevin-hart-into-a-screaming-uncontrollable-fan#4037312058231155719,http://www.buzzfeed.com/alisonvingiano/tv-anchor-begs-you-to-stop-taking-pictures-of-your-snow-cove#-6052717822743552871
http://www.buzzfeed.com/rachelzarrell/jon-stewart-continues-his-crusade-to-prove-jennifer-lawrence#1830209145195064591,http://www.buzzfeed.com/jaimieetkin/15-places-justin-bieber-r-kelly-talk-about-having-sex-in-pyd#8593321787743544391,http://www.buzzfeed.com/robinedds/its-thanksgiving-so-we-asked-some-brits-to-label-the-us-stat#-7565621191363562461
http://www.buzzfeed.com/mikespohr/what-no-one-tells-you-about-becoming-a-parent#1723136755280758698,http://www.buzzfeed.com/lilis2/insanely-beautiful-colleges-you-can-get-married-at#8782362162545826666,http://www.buzzfeed.com/antwaunsargent/times-kim-kardashian-and-kanye-west-were-the-most-fashion#1839051455021527838
http://www.buzzfeed.com/mccarricksean/50-things-that-comics-imply-about-christmas-fjmu#-7928283164099302795,http://www.buzzfeed.com/kristinchirico/television-in-2003-vs-2013#2972203443993562418,http://www.buzzfeed.com/notmonroe/16-twists-on-instant-hot-cocoa-gg32#-4142149997932336499
http://www.buzzfeed.com/jessicamisener/29-reasons-jon-stewart-is-the-most-perfect-man-on-earth#8323060580387745971,http://www.buzzfeed.com/rachelzarrell/this-epic-note-passing-war-on-a-delayed-flight-wins-thanksgi#-91037916206573008,http://www.buzzfeed.com/joelanderson/the-sexual-assault-investigation-of-the-heisman-frontrunner#-4165104985903128402
http://www.buzzfeed.com/tonymerevick/lgbt-media-advocacy-group-glaad-names-sarah-kate-ellis-new-p#-3277330115281762032,http://www.buzzfeed.com/mjs538/40-amazing-grilled-cheese-sandwich-recipes#4766286582985850204,http://www.buzzfeed.com/mjkiebus/11-important-takeaways-from-the-mets-awful-holiday-video#-6809607742985623044
http://www.buzzfeed.com/lilis2/reasons-only-you-can-understand-your-job#-3283411073837418383,http://www.buzzfeed.com/bradesposito/20-signs-youre-a-child-of-divorce#191714701423337830,http://www.buzzfeed.com/andrewkaczynski/sections-of-rand-pauls-op-ed-on-drug-sentencing-plagiarized#7726520208486171991
http://www.buzzfeed.com/mackenziekruvant/signs-youre-a-morning-person#-5783493734454131744,http://www.buzzfeed.com/kmallikarjuna/missing-lines-that-should-have-been-in-the-harry-potter-movi#-8884512080914416487,http://www.buzzfeed.com/ellievhall/what-its-like-to-start-working-in-tv-news#-6827370258685960644
http://www.buzzfeed.com/tomphillips/14-things-you-can-say-to-bisexual-people-that-are-guaranteed#8840747220128669848,http://www.buzzfeed.com/mattbellassai/the-creepiest-dogs-you-meet-on-okcupid#-7853087955792313401,http://www.buzzfeed.com/samimain/cute-cozies-your-tortoise-can-rock-this-winter#-327307531609293400
http://www.buzzfeed.com/mikespohr/19-places-that-will-make-your-kids-dreams-come-true#-2719105396301301538,http://www.buzzfeed.com/joannaborns/saltine-porn#-7832298104480740738,http://www.buzzfeed.com/peterlauria/5-facts-about-the-nations-largest-magazine-publisher#-9119617429544379742
http://www.buzzfeed.com/perpetua/x-men-apocalypse-movie#8267861741508948222,http://www.buzzfeed.com/daves4/trypophobia-is-a-real-terrifying-thing-and-you-definitely-ha#4204487335618060127,http://www.buzzfeed.com/juliepereira24/20-plaid-pieces-to-try-this-winter-for-under-100-haso#-8570108987291361431
http://www.buzzfeed.com/adriancarrasquillo/catch-an-illegal-immigrant-game-planned-for-university-of-te#7710922346037050411,http://www.buzzfeed.com/robinedds/extraordinary-footage-emerges-of-the-moment-two-planes-full#6378195825744641115,http://www.buzzfeed.com/emofly/glittery-christmas-cookies#2929743358887445253
http://www.buzzfeed.com/rachelysanders/pretty-ways-to-eat-pomegranate-seeds#7215087502245723117,http://www.buzzfeed.com/ariellecalderon/things-you-probably-didnt-know-about-good-will-hunting#1732405284116780263,http://www.buzzfeed.com/mrloganrhoades/what-its-like-to-be-a-houston-texans-fan-right-now#5788626409433137706
http://www.buzzfeed.com/maycie/real-life-walter-white-meth-cook-alabama-vice#4774894301174849860,http://www.buzzfeed.com/samimain/reasons-to-fall-back-in-love-with-breakfast#8882368131807779519,http://www.buzzfeed.com/tonymerevick/federal-court-orders-immediate-marriage-licenses-for-illinoi#8272202709089486190
http://www.buzzfeed.com/summeranne/women-who-prove-style-peaked-in-the-60s#-4573337137218648687,http://www.buzzfeed.com/gregs11/7-ridiculous-items-you-can-buy-online-right-now-4x67#-9155932142325971535,http://www.buzzfeed.com/paulaersly/star-wars-episode-vii-fan-posters#8020021430605227629
http://www.buzzfeed.com/hnigatu/why-lupita-nyongo-should-be-your-new-fashion-icon#-6070752847114263205,http://www.buzzfeed.com/ariellecalderon/reasons-marina-and-the-diamonds-should-always-be-on-your#-3270606932707513461,http://www.buzzfeed.com/theapartment8/what-was-your-favorite-youtube-video-of-2013-gswo#5181972371460075994
http://www.buzzfeed.com/skarlan/watch-the-season-finale-of-little-horribles-a-day-early#5458408847800478002,http://www.buzzfeed.com/gregs11/11-hilarious-things-that-the-past-didnt-get-r-4x67#8576508310775790805,http://www.buzzfeed.com/jessicamisener/23-excellent-reasons-to-drink-more-wine#5469685763611081573
http://www.buzzfeed.com/jordanzakarin/tracy-letts-august-osage-county-play-movie#2664253773952970126,http://www.buzzfeed.com/sapna/kmart-made-a-gif-themed-commercial-and-it-doesnt-really-make#-8059774261067093280,http://www.buzzfeed.com/tracyclayton/an-ode-to-rihanna-and-her-doobie-wrap#-3207525772210728930
http://www.buzzfeed.com/mjs538/why-lizzie-and-gordo-were-the-most-perfect-couple-that-never#-2709193874158400518,http://www.buzzfeed.com/dorsey/quiz-what-the-hell-is-msnbcs-chris-matthews-talking-about#3135069603885509180,http://www.buzzfeed.com/mariahsummers/sign-holding-students-bitcoin-account-passes-25000-after-bei#3585200411427602134
http://www.buzzfeed.com/jessicamisener/19-gifs-we-should-all-retire-in-2014#-5731086143588533506,http://www.buzzfeed.com/mylestanzer/drake-is-coming-out-with-gold-jordan-sneakers#1680963643309561787,http://www.buzzfeed.com/paulf24/21-ways-youve-transformed-from-a-freshman-to-a-se-b5ra#-5312807664285379480
http://www.buzzfeed.com/kmallikarjuna/jaw-dropping-photos-of-space-taken-in-2013#-5734539112032438643,http://www.buzzfeed.com/skarlan/chicagos-gay-hockey-association-covers-mariah-carey-flawless#-8721132359702129067,http://www.buzzfeed.com/alannaokun/some-terrible-people-on-twitter-have-decided-that-its-fat-sh#-857763575725495469
http://www.buzzfeed.com/tanyachen/important-90s-hip-hop-fashion-trends-you-might-have-forgo#-7070833041986223087,http://www.buzzfeed.com/meganm15/manny-and-frank-the-frenchie-brothers#-3717936097772262987,http://www.buzzfeed.com/summeranne/americans-try-to-place-european-countries-on-a-map#-3566975717963758140
http://www.buzzfeed.com/whitneyjefferson/would-you-rather-with-kelly-bensimon#6387205006153322991,http://www.buzzfeed.com/mbvd/moments-from-hawaiis-first-day-of-marriage-equality-aloha#-3305371722450757503,http://www.buzzfeed.com/louispeitzman/bad-movies-to-watch-with-your-gay-friends#-9075319672257348730
